date,S.No.,NEW CASES,TOTAL
02-03-2020 Total,1,1,1
04-03-2020 Total,2,1,2
07-03-2020 Total,3,1,3
09-03-2020 Total,4,2,5
10-03-2020 Total,5,2,7
11-03-2020 Total,6,2,9
14-03-2020 Total,7,2,11
15-03-2020 Total,8,1,12
16-03-2020 Total,9,4,16
17-03-2020 Total,10,1,17
18-03-2020 Total,11,4,21
19-03-2020 Total,12,3,24
20-03-2020 Total,13,6,30
21-03-2020 Total,14,10,40
22-03-2020 Total,15,12,52
23-03-2020 Total,16,15,67
24-03-2020 Total,17,9,76
25-03-2020 Total,18,7,83
26-03-2020 Total,19,17,100
27-03-2020 Total,20,15,115
28-03-2020 Total,21,15,130
29-03-2020 Total,22,22,152
30-03-2020 Total,23,8,160
31-03-2020 Total,24,21,181
01-04-2020 Total,25,83,264
02-04-2020 Total,26,18,282
03-04-2020 Total,27,4,286
04-04-2020 Total,28,10,296
05-04-2020 Total,29,38,334
06-04-2020 Total,30,29,363
07-04-2020 Total,31,19,382
08-04-2020 Total,32,19,401
09-04-2020 Total,33,17,418
10-04-2020 Total,34,12,430
11-04-2020 Total,35,12,442
12-04-2020 Total,36,6,448
13-04-2020 Total,37,16,464
14-04-2020 Total,38,13,477
15-04-2020 Total,39,8,485
16-04-2020 Total,40,18,503
17-04-2020 Total,41,13,516
18-04-2020 Total,42,12,528
19-04-2020 Total,43,4,532
20-04-2020 Total,44,11,543
21-04-2020 Total,45,9,552
22-04-2020 Total,46,25,577
23-04-2020 Total,47,32,609
24-04-2020 Total,48,49,658
25-04-2020 Total,49,44,702
26-04-2020 Total,50,20,722
27-04-2020 Total,51,56,778
28-04-2020 Total,52,46,824
29-04-2020 Total,53,54,878
30-04-2020 Total,54,83,961
01-05-2020 Total,55,88,1049
02-05-2020 Total,56,92,1141
03-05-2020 Total,57,106,1247
04-05-2020 Total,58,225,1472
05-05-2020 Total,59,192,1664
06-05-2020 Total,60,307,1971
07-05-2020 Total,61,14,1985
08-05-2020 Total,62,246,2231
09-05-2020 Total,63,217,2448
10-05-2020 Total,64,234,2682
11-05-2020 Total,65,264,2946
12-05-2020 Total,66,299,3245
13-05-2020 Total,67,174,3419
14-05-2020 Total,68,170,3589
15-05-2020 Total,69,133,3722
16-05-2020 Total,70,201,3923
17-05-2020 Total,71,259,4182
18-05-2020 Total,72,199,4381
19-05-2020 Total,73,288,4669
20-05-2020 Total,74,264,4933
21-05-2020 Total,75,312,5245
22-05-2020 Total,76,277,5522
23-05-2020 Total,77,337,5859
24-05-2020 Total,78,326,6185
25-05-2020 Total,79,307,6492
26-05-2020 Total,80,296,6788
27-05-2020 Total,81,325,7113
28-05-2020 Total,82,321,7434
29-05-2020 Total,83,437,7871
30-05-2020 Total,84,378,8249
31-05-2020 Total,85,496,8745
01-06-2020 Total,86,100,8845
02-06-2020 Total,87,186,9031
03-06-2020 Total,88,158,9189
04-06-2020 Total,89,120,9309
